kepid datalocation fits srad kepmag syntheticbool activity syntheticid syndetectbool userxmin userxmax userxmid userduration thresholddown thresholdup maxcount
7802933 http://www.planethunters.org/subjects/7802933_3-synth-1626.json /raw/kepler/lightcurves/0078/007802933/kplr007802933-2009350155506_llc.fits 0.47 14.457 True 0.002886951 1626 True 312.38919918 312.838720536 312.6139598 0.449521356 0.48 0.5 0.946505131157
12257167 http://www.planethunters.org/subjects/12257167_15-synth-1634.json /raw/kepler/lightcurves/0122/012257167/kplr012257167-2013011073258_llc.fits 0.393 15.156 True 0.000483863 1634 True 1396.63855347 1397.08808035 1396.863316 0.449526874 0.48 0.5 0.867457139492
6470362 http://www.planethunters.org/subjects/6470362_12-synth-1635.json /raw/kepler/lightcurves/0064/006470362/kplr006470362-2012088054726_llc.fits 0.27 15.297 True 0.000586369 1635 True 1136.88289913 1137.33243332 1137.107666 0.449534192 0.48 0.5 0.904665246038
8474661 http://www.planethunters.org/subjects/8474661_4-synth-1637.json /raw/kepler/lightcurves/0084/008474661/kplr008474661-2010078095331_llc.fits 0.494 14.982 True 0.000839662 1637 True 415.720817731 416.170367239 415.9455924 0.449549507 0.48 0.5 0.931821839349
10963429 http://www.planethunters.org/subjects/10963429_6-synth-1641.json /raw/kepler/lightcurves/0109/010963429/kplr010963429-2010265121752_llc.fits 0.36 15.179 True 0.001520693 1641 True 604.837449709 605.246115808 605.0417827 0.408666099 0.48 0.5 0.919368396627
8042251 http://www.planethunters.org/subjects/8042251_2-synth-1643.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2009259160929_llc.fits 0.593 11.264 True 0.00202411 1643 True 242.591299542 243.02039857 242.8058490 0.429099028 0.48 0.5 0.904243747868
9333505 http://www.planethunters.org/subjects/9333505_14-synth-1644.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2012277125453_llc.fits 0.29 12.889 True 0.002231568 1644 True 1330.12853259 1330.57807023 1330.353301 0.449537639 0.48 0.5 0.902674789243
7802933 http://www.planethunters.org/subjects/7802933_13-synth-1646.json /raw/kepler/lightcurves/0078/007802933/kplr007802933-2012179063303_llc.fits 0.47 14.457 True 0.002886951 1646 True 1225.3430415 1225.73129541 1225.537168 0.388253914 0.48 0.5 0.723799920161
3232334 http://www.planethunters.org/subjects/3232334_7-synth-1653.json /raw/kepler/lightcurves/0032/003232334/kplr003232334-2010355172524_llc.fits 0.602 13.904 True 0.000263363 1653 True 653.223477486 653.652562518 653.4380200 0.429085032 0.48 0.5 0.781699643351
12257167 http://www.planethunters.org/subjects/12257167_1-synth-1654.json /raw/kepler/lightcurves/0122/012257167/kplr012257167-2009166043257_llc.fits 0.393 15.156 True 0.000483863 1654 True 149.453237783 149.861921433 149.6575796 0.408683650 0.48 0.5 0.747268210172
6470362 http://www.planethunters.org/subjects/6470362_2-synth-1655.json /raw/kepler/lightcurves/0064/006470362/kplr006470362-2009259160929_llc.fits 0.27 15.297 True 0.000586369 1655 True 215.435405378 215.905381263 215.6703933 0.469975884 0.48 0.5 0.969360734631
9225647 http://www.planethunters.org/subjects/9225647_2-synth-1659.json /raw/kepler/lightcurves/0092/009225647/kplr009225647-2009259160929_llc.fits 0.605 13.919 True 0.001198601 1659 True 236.39981401 236.788048219 236.5939311 0.388234208 0.48 0.5 0.701391612581
10963429 http://www.planethunters.org/subjects/10963429_13-synth-1661.json /raw/kepler/lightcurves/0109/010963429/kplr010963429-2012179063303_llc.fits 0.36 15.179 True 0.001520693 1661 False 1231.59564492 1232.00433045 1231.799987 0.408685529 0.48 0.5 0.704114382596
